baseline_cost,baseline_carbon_tonnes,baseline_reliability,baseline_gas_used,baseline_unserved_mw
2425096.0,14853.71,1.0,30313.7,0.0
2914592.0,17851.88,1.0,36432.4,0.0
9264458.0,26482.71,0.9835,54046.3,988.2
3802224.0,23288.62,1.0,47527.8,0.0
3532368.0,21635.75,1.0,44154.6,0.0
2120176.0,12986.08,1.0,26502.2,0.0
8187476.8,26265.7,0.9869,53603.5,779.8
4590616.0,28117.52,1.0,57382.7,0.0
6646126.8,28862.08,0.9941,58902.2,386.8
3498456.0,21428.04,1.0,43730.7,0.0
1700496.0,10415.54,1.0,21256.2,0.0
2586376.0,15841.55,1.0,32329.7,0.0
3097496.0,18972.16,1.0,38718.7,0.0
2672704.0,16370.31,1.0,33408.8,0.0
4026168.0,24660.28,1.0,50327.1,0.0
11204880.8,29333.73,0.9807,59864.8,1283.1
3486024.0,21351.9,1.0,43575.3,0.0
3971344.0,24324.48,1.0,49641.8,0.0
3028352.0,18548.66,1.0,37854.4,0.0
2413368.0,14781.88,1.0,30167.1,0.0
3124336.0,19136.56,1.0,39054.2,0.0
2910088.0,17824.29,1.0,36376.1,0.0
2629992.0,16108.7,1.0,32874.9,0.0
1419456.0,8694.17,1.0,17743.2,0.0
2270840.0,13908.9,1.0,28385.5,0.0
2994800.0,18343.15,1.0,37435.0,0.0
3209640.0,19659.04,1.0,40120.5,0.0
2421704.0,14832.94,1.0,30271.3,0.0
1857608.0,11377.85,1.0,23220.1,0.0
3016248.0,18474.52,1.0,37703.1,0.0
2004312.0,12276.41,1.0,25053.9,0.0
2096752.0,12842.61,1.0,26209.4,0.0
2201720.0,13485.53,1.0,27521.5,0.0
2790728.0,17093.21,1.0,34884.1,0.0
2241560.0,13729.56,1.0,28019.5,0.0
28953788.8,22757.98,0.9022,46444.9,5047.6
3693216.0,22620.95,1.0,46165.2,0.0
3946344.0,24171.36,1.0,49329.3,0.0
2094288.0,12827.51,1.0,26178.6,0.0
1903128.0,11656.66,1.0,23789.1,0.0
21035591.6,18736.02,0.9154,38236.8,3595.3
2488344.0,15241.11,1.0,31104.3,0.0
5416139.2,28452.7,0.9976,58066.7,154.2
2040592.0,12498.63,1.0,25507.4,0.0
3223288.0,19742.64,1.0,40291.1,0.0
5075502.0,19681.17,0.9917,40165.7,372.4
2485752.0,15225.23,1.0,31071.9,0.0
1951304.0,11951.74,1.0,24391.3,0.0
4008672.0,24553.12,1.0,50108.4,0.0
2078040.0,12728.0,1.0,25975.5,0.0
1953632.0,11966.0,1.0,24420.4,0.0
4267936.0,26141.11,1.0,53349.2,0.0
24651757.2,24795.27,0.9267,50602.6,4120.7
2517832.0,15421.72,1.0,31472.9,0.0
2823776.0,17295.63,1.0,35297.2,0.0
4455800.0,27291.78,1.0,55697.5,0.0
3558904.0,21798.29,1.0,44486.3,0.0
9060035.2,22584.32,0.979,46090.4,1074.6
4083112.0,25009.06,1.0,51038.9,0.0
23510258.4,18578.1,0.9028,37914.5,4095.4
3581136.0,21934.46,1.0,44764.2,0.0
14964004.0,19517.34,0.9468,39831.3,2355.5
2584144.0,15827.88,1.0,32301.8,0.0
2046152.0,12532.68,1.0,25576.9,0.0
2420984.0,14828.53,1.0,30262.3,0.0
1995384.0,12221.73,1.0,24942.3,0.0
3849592.0,23578.75,1.0,48119.9,0.0
11306608.4,28274.58,0.9791,57703.2,1338.1
10471580.8,28550.96,0.9821,58267.3,1162.0
37893779.6,32717.48,0.9122,66770.4,6510.4
2183856.0,13376.12,1.0,27298.2,0.0
3104480.0,19014.94,1.0,38806.0,0.0
2275264.0,13935.99,1.0,28440.8,0.0
2378016.0,14565.35,1.0,29725.2,0.0
2966536.0,18170.03,1.0,37081.7,0.0
2487304.0,15234.74,1.0,31091.3,0.0
6263478.4,21890.01,0.9892,44673.5,537.9
2957248.0,18113.14,1.0,36965.6,0.0
1562488.0,9570.24,1.0,19531.1,0.0
35001334.8,30676.36,0.9138,62604.8,5998.6
2883712.0,17662.74,1.0,36046.4,0.0
2459256.0,15062.94,1.0,30740.7,0.0
3341952.0,20469.46,1.0,41774.4,0.0
3298184.0,20201.38,1.0,41227.3,0.0
2815460.0,16506.63,0.9994,33687.0,24.1
3141984.0,19244.65,1.0,39274.8,0.0
4564628.4,20462.27,0.9947,41759.7,244.8
2889232.0,17696.55,1.0,36115.4,0.0
17424776.0,20388.75,0.939,41609.7,2819.2
2315544.0,14182.71,1.0,28944.3,0.0
9386222.4,20093.81,0.9732,41007.8,1221.1
4240013.6,23196.07,0.9983,47338.9,90.6
2759752.0,16903.48,1.0,34496.9,0.0
