datetime,demand_mw,solar_mw,wind_mw
2021-01-01 00:00:00,44434.85,0.0,8662.65
2021-01-01 01:00:00,46584.58,0.0,8504.95
2021-01-01 02:00:00,46988.08,230.23,8597.22
2021-01-01 03:00:00,45424.47,0.0,8679.09
2021-01-01 04:00:00,45185.76,0.0,7843.95
2021-01-01 05:00:00,44040.48,0.0,8833.98
2021-01-01 06:00:00,43720.52,0.0,9153.43
2021-01-01 07:00:00,48861.47,240.21,6935.18
2021-01-01 08:00:00,51934.23,462.16,6535.79
2021-01-01 09:00:00,56721.48,436.11,6446.51
2021-01-01 10:00:00,57364.74,1328.5,6008.56
2021-01-01 11:00:00,58054.26,1137.34,4720.51
2021-01-01 12:00:00,60849.23,375.78,4172.1
2021-01-01 13:00:00,60312.49,1210.01,4700.44
2021-01-01 14:00:00,58239.64,873.35,3477.03
2021-01-01 15:00:00,54749.51,752.39,4918.79
2021-01-01 16:00:00,53532.63,243.9,4558.6
2021-01-01 17:00:00,48574.72,413.22,4964.62
2021-01-01 18:00:00,47210.76,708.26,4465.48
2021-01-01 19:00:00,40885.47,319.33,6038.35
2021-01-01 20:00:00,36933.29,0.0,5352.86
2021-01-01 21:00:00,46981.37,243.76,7435.27
2021-01-01 22:00:00,46737.17,301.06,7443.37
2021-01-01 23:00:00,43437.83,108.42,8712.85
2021-01-02 00:00:00,43476.27,469.39,6716.02
2021-01-02 01:00:00,45322.55,26.11,8480.48
2021-01-02 02:00:00,44310.66,0.0,8761.94
2021-01-02 03:00:00,45090.66,443.37,8662.55
2021-01-02 04:00:00,43294.94,0.0,9442.98
2021-01-02 05:00:00,45644.35,0.0,8967.85
2021-01-02 06:00:00,45529.7,290.59,7866.64
2021-01-02 07:00:00,48678.08,103.88,6924.94
2021-01-02 08:00:00,53447.14,510.24,7241.53
2021-01-02 09:00:00,55622.97,196.06,6380.21
2021-01-02 10:00:00,57830.92,537.61,5929.95
2021-01-02 11:00:00,60685.43,1462.75,5566.88
2021-01-02 12:00:00,60936.87,948.18,3826.05
2021-01-02 13:00:00,59910.41,1013.54,6083.25
2021-01-02 14:00:00,58101.56,1060.98,4350.62
2021-01-02 15:00:00,53941.61,1239.74,4742.84
2021-01-02 16:00:00,54337.98,505.48,5213.12
2021-01-02 17:00:00,46744.54,796.72,5919.57
2021-01-02 18:00:00,43571.99,262.03,5037.11
2021-01-02 19:00:00,40535.79,0.0,5503.27
2021-01-02 20:00:00,35883.65,142.08,5475.06
2021-01-02 21:00:00,51924.42,0.0,6439.36
2021-01-02 22:00:00,48331.12,0.0,7374.94
2021-01-02 23:00:00,46951.9,0.0,7913.83
2021-01-03 00:00:00,44008.55,234.55,7559.08
2021-01-03 01:00:00,41466.31,156.58,8852.06
2021-01-03 02:00:00,44596.38,103.93,8500.09
2021-01-03 03:00:00,44865.92,87.92,8559.39
2021-01-03 04:00:00,48108.62,142.15,8193.32
2021-01-03 05:00:00,46234.39,0.0,9146.12
2021-01-03 06:00:00,47440.43,0.0,8879.28
2021-01-03 07:00:00,50010.87,469.81,8953.73
2021-01-03 08:00:00,52472.42,209.08,6716.45
2021-01-03 09:00:00,54576.77,602.25,6847.99
2021-01-03 10:00:00,58945.85,1032.36,6044.25
2021-01-03 11:00:00,62574.5,824.3,7103.06
2021-01-03 12:00:00,61599.48,720.74,4342.82
2021-01-03 13:00:00,60826.59,935.99,5041.14
2021-01-03 14:00:00,59299.64,956.03,3870.43
2021-01-03 15:00:00,53318.5,769.75,4812.45
2021-01-03 16:00:00,53299.49,410.48,4482.41
2021-01-03 17:00:00,49961.44,360.22,4704.97
2021-01-03 18:00:00,45459.74,92.31,5200.03
2021-01-03 19:00:00,42451.46,548.11,6103.24
2021-01-03 20:00:00,35316.0,0.0,6345.47
2021-01-03 21:00:00,50059.35,154.51,8954.94
2021-01-03 22:00:00,47894.39,340.67,7822.56
2021-01-03 23:00:00,45771.55,0.0,8271.03
2021-01-04 00:00:00,42149.68,0.0,8022.97
2021-01-04 01:00:00,43990.5,694.4,7567.02
2021-01-04 02:00:00,45380.76,0.0,8638.82
2021-01-04 03:00:00,46407.97,19.28,8355.35
2021-01-04 04:00:00,43462.68,203.88,8483.76
2021-01-04 05:00:00,45442.22,13.67,8296.42
2021-01-04 06:00:00,49214.06,190.18,7099.1
2021-01-04 07:00:00,49603.49,26.46,8339.29
2021-01-04 08:00:00,51487.58,404.29,7564.44
2021-01-04 09:00:00,57603.59,270.34,6452.95
2021-01-04 10:00:00,57592.91,594.54,7105.13
2021-01-04 11:00:00,60687.1,532.74,6030.2
2021-01-04 12:00:00,64293.16,1295.52,4081.5
2021-01-04 13:00:00,59086.51,1391.21,4195.32
2021-01-04 14:00:00,59246.68,1218.18,3829.16
2021-01-04 15:00:00,55938.08,0.0,3690.67
2021-01-04 16:00:00,52459.5,416.2,5364.77
2021-01-04 17:00:00,46693.61,498.42,4698.37
2021-01-04 18:00:00,47949.25,7.96,5691.02
2021-01-04 19:00:00,41460.47,0.0,5756.74
2021-01-04 20:00:00,38154.11,0.0,6087.74
2021-01-04 21:00:00,48440.98,34.06,7050.93
2021-01-04 22:00:00,49721.62,0.0,8541.27
2021-01-04 23:00:00,41085.29,0.0,8180.82
2021-01-05 00:00:00,44046.55,0.0,8201.79
2021-01-05 01:00:00,42955.73,0.0,9210.18
2021-01-05 02:00:00,44788.12,0.0,9475.13
2021-01-05 03:00:00,45001.0,243.86,9393.29
2021-01-05 04:00:00,43258.04,0.0,9383.75
2021-01-05 05:00:00,46151.26,0.0,8770.82
2021-01-05 06:00:00,47654.76,0.0,8654.92
2021-01-05 07:00:00,48903.92,161.62,8498.84
2021-01-05 08:00:00,54399.87,686.52,8055.64
2021-01-05 09:00:00,56083.03,840.41,6477.48
2021-01-05 10:00:00,59031.31,758.26,6113.13
2021-01-05 11:00:00,61029.42,673.33,6743.13
2021-01-05 12:00:00,58662.45,629.96,5695.48
2021-01-05 13:00:00,61383.13,1207.02,5003.86
2021-01-05 14:00:00,58425.76,725.04,4437.39
2021-01-05 15:00:00,54826.34,1211.33,4223.53
2021-01-05 16:00:00,51428.23,700.89,4639.66
2021-01-05 17:00:00,48253.16,389.16,4773.07
