datetime,demand_mw,solar_mw,wind_mw,renewable_mw,coal_mw,gas_available_mw,gas_used_mw,unserved_mw,net_load_mw,renewable_pct,lng_price_usd,gas_cost_inr_mwh,hourly_cost_inr,carbon_tonnes,month,month_name,hour,season,time_of_day,day_of_week,demand_6h_trend,net_load_3h,ews_score,ews_alert,alert_label,load_shedding_hrs,status,blackout_risk_index,date_label
2024-05-15 00:00:00,93895.64820232887,836.0,2643.8,3479.8,40637.3,2868.8,2868.8,46909.74820232886,49778.548202328864,3.71,14.5,10291.0,2940090040.0,35040.64,5,May,0,Summer,Night,Wednesday,0.0,0.0,0.25,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 01:00:00,87652.63544132933,0.0,4441.6,4441.6,35732.9,2868.8,2868.8,44609.33544132932,47478.13544132932,5.07,14.5,10291.0,2662982362.0,31019.01,5,May,1,Summer,Night,Wednesday,0.0,0.0,0.25,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 02:00:00,90216.95178007614,192.9,3675.5,3868.4,39104.8,2868.8,2868.8,44374.95178007614,47243.75178007614,4.29,14.5,10291.0,2895880852.0,33784.0,5,May,2,Summer,Night,Wednesday,0.0,0.0,0.25,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 03:00:00,89346.40878991412,185.2,5242.5,5427.7,39021.4,2868.8,2868.8,42028.508789914114,44897.30878991412,6.07,14.5,10291.0,2735842551.0,33715.59,5,May,3,Summer,Night,Wednesday,0.0,-4881.239412414747,0.25,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 04:00:00,95132.8294087051,0.0,4399.1,4399.1,35683.0,2868.8,2868.8,52181.929408705095,55050.7294087051,4.62,14.5,10291.0,3235600391.0,30978.12,5,May,4,Summer,Night,Wednesday,0.0,7572.593967375775,0.25,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 05:00:00,86296.79259332464,0.0,2529.3,2529.3,39021.2,2868.8,2868.8,41877.49259332464,44746.292593324644,2.93,14.5,10291.0,2752742403.0,33715.48,5,May,5,Summer,Night,Wednesday,0.0,-2497.4591867514973,0.25,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 06:00:00,95902.65944208669,0.0,2418.5,2418.5,34520.4,2868.8,2868.8,56094.959442086685,58963.75944208669,2.52,14.5,10291.0,3660068019.0,30024.81,5,May,6,Summer,Morning,Wednesday,2007.0112397578196,14066.45065217257,0.25,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 07:00:00,95586.3456807605,6808.4,2886.6,9695.0,36260.5,2868.8,2868.8,46762.04568076049,49630.845680760496,10.14,14.5,10291.0,3055083335.0,31451.66,5,May,7,Summer,Morning,Wednesday,7933.710239431166,-5419.883727944602,0.2,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 08:00:00,107597.47082310246,10670.2,4409.2,15079.400000000001,36351.4,2868.8,2868.8,53297.87082310246,56166.67082310246,14.01,14.5,10291.0,3297337681.0,31526.23,5,May,8,Summer,Morning,Wednesday,17380.519043026317,11420.378229777816,0.4,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 09:00:00,118546.86163265095,17434.7,4524.1,21958.800000000003,34978.0,2868.8,2868.8,58741.261632650945,61610.06163265095,18.52,14.5,10291.0,3516134067.0,30400.06,5,May,9,Summer,Morning,Wednesday,29200.452842736835,2646.30219056426,0.35,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 10:00:00,121574.83306878567,22583.3,800.0,23383.3,35600.2,2868.8,2868.8,59722.53306878566,62591.333068785665,19.23,14.5,10291.0,3573880689.0,30910.23,5,May,10,Summer,Morning,Wednesday,26442.00366008056,12960.487388025169,0.35,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 11:00:00,125560.03086507818,24468.8,1256.9,25725.7,36740.3,2868.8,2868.8,60225.23086507818,63094.03086507818,20.49,14.5,10291.0,3494167316.0,31845.09,5,May,11,Summer,Morning,Wednesday,39263.23827175354,6927.36004197572,0.35,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 12:00:00,112020.63023514173,26457.5,3374.7,29832.2,35444.5,2868.8,2868.8,43875.130235141725,46743.93023514173,26.63,14.5,10291.0,2688658710.0,30782.54,5,May,12,Summer,Afternoon,Wednesday,16117.970793055036,-14866.13139750922,0.35,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 13:00:00,106436.00102465766,28000.0,1193.7,29193.7,34818.2,2868.8,2868.8,39555.30102465766,42424.10102465766,27.43,14.5,10291.0,2411949250.0,30268.97,5,May,13,Summer,Afternoon,Wednesday,10849.65534389716,-20167.232044128003,0.25,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 14:00:00,104548.88592594331,26038.2,1540.4,27578.600000000002,36932.6,2868.8,2868.8,37168.8859259433,40037.685925943304,26.38,14.5,10291.0,2331803685.0,32002.78,5,May,14,Summer,Afternoon,Wednesday,-3048.5848971591477,-23056.344939134877,0.15,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 15:00:00,110987.54706852797,22971.7,1767.8,24739.5,42128.1,2868.8,2868.8,41251.14706852797,44119.947068527974,22.29,14.5,10291.0,2582344652.0,36263.11,5,May,15,Summer,Afternoon,Wednesday,-7559.3145641229785,-2623.9831666137543,0.15,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 16:00:00,117379.19066319043,18706.0,3046.9,21752.9,37367.1,2868.8,2868.8,55390.39066319042,58259.19066319042,18.53,14.5,10291.0,3146337613.0,32359.09,5,May,16,Summer,Afternoon,Wednesday,-4195.6424055952375,15835.089638532758,0.15,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 17:00:00,112019.80287451007,12779.6,2847.7,15627.3,36294.8,2868.8,2868.8,57228.902874510066,60097.70287451007,13.95,14.5,10291.0,3472588926.0,31479.82,5,May,17,Summer,Afternoon,Wednesday,-13540.227990568106,20060.016948566765,0.2,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 18:00:00,120841.74853818824,7433.3,4921.4,12354.7,39148.7,2868.8,2868.8,66469.54853818825,69338.34853818825,10.22,14.5,10291.0,4022878911.0,33820.03,5,May,18,Summer,Evening,Wednesday,8821.118303046518,25218.401469660275,0.3,0,Normal,1,CRISIS,0.0,15 May
2024-05-15 19:00:00,129804.07139416605,0.0,3514.9,3514.9,40117.0,2868.8,2868.8,83303.37139416605,86172.17139416606,2.71,14.5,10291.0,5214239522.0,34614.03,5,May,19,Summer,Evening,Wednesday,23368.070369508394,27912.980730975636,0.45,1,âš  ALERT,1,CRISIS,0.323,15 May
2024-05-15 20:00:00,129269.84454981014,0.0,5010.5,5010.5,35489.8,2868.8,2868.8,85900.74454981013,88769.54454981013,3.88,14.5,10291.0,5173242736.0,30819.7,5,May,20,Summer,Evening,Wednesday,24720.958623866827,28671.841675300064,0.45,1,âš  ALERT,1,CRISIS,0.375,15 May
2024-05-15 21:00:00,123533.16395864692,1222.4,4613.5,5835.9,38304.2,2868.8,2868.8,76524.26395864693,79393.06395864693,4.72,14.5,10291.0,4587100062.0,33127.54,5,May,21,Summer,Evening,Wednesday,12545.616890118952,10054.715420458684,0.35,0,Normal,1,CRISIS,0.188,15 May
2024-05-15 22:00:00,116948.02025587573,0.0,3750.8,3750.8,40599.6,2868.8,2868.8,69728.82025587572,72597.62025587572,3.21,14.5,10291.0,4130180189.0,35009.75,5,May,22,Summer,Evening,Wednesday,-431.1704073146975,-13574.551138290335,0.25,0,Normal,1,CRISIS,0.052,15 May
2024-05-15 23:00:00,104959.46904980301,1733.6,2536.9,4270.5,37400.6,2868.8,2868.8,60419.56904980301,63288.36904980301,4.07,14.5,10291.0,3622215464.0,32386.59,5,May,23,Summer,Evening,Wednesday,-7060.333824707064,-25481.17550000712,0.25,0,Normal,1,CRISIS,0.0,15 May
2024-05-16 00:00:00,89282.02354383204,0.0,3585.7,3585.7,38274.7,2868.8,2868.8,44552.82354383204,47421.623543832044,4.02,14.5,10291.0,2762957406.0,33103.28,5,May,0,Summer,Night,Thursday,-31559.724994356206,-31971.44041481489,0.25,0,Normal,1,CRISIS,0.0,16 May
2024-05-16 01:00:00,92871.55337427357,1736.4,4424.1,6160.5,39740.3,2868.8,2868.8,44101.953374273566,46970.75337427357,6.63,14.5,10291.0,2744247551.0,34305.09,5,May,1,Summer,Night,Thursday,-36932.51801989248,-25626.866881602153,0.25,0,Normal,1,CRISIS,0.0,16 May
2024-05-16 02:00:00,91997.0386424622,1342.4,6778.1,8120.5,38502.2,2868.8,2868.8,42505.5386424622,45374.3386424622,8.83,14.5,10291.0,2634057984.0,33289.84,5,May,2,Summer,Night,Thursday,-37272.80590734794,-17914.03040734081,0.25,0,Normal,1,CRISIS,0.0,16 May
2024-05-16 03:00:00,89184.3740871218,0.0,4205.1,4205.1,38353.0,2868.8,2868.8,43757.474087121795,46626.2740871218,4.72,14.5,10291.0,2687332754.0,33167.52,5,May,3,Summer,Night,Thursday,-34348.78987152512,-795.3494567102462,0.25,0,Normal,1,CRISIS,0.0,16 May
2024-05-16 04:00:00,97958.40088161237,368.2,3777.8,4146.0,36167.6,2868.8,2868.8,54776.000881612366,57644.80088161237,4.23,14.5,10291.0,3204388780.0,31375.5,5,May,4,Summer,Night,Thursday,-18989.619374263362,10674.0475073388,0.25,0,Normal,1,CRISIS,0.0,16 May
