scenario_id,demand_mw,solar_mw,wind_mw,coal_mw,renewable_mw,unserved_pct,risk_label,baseline_cost_inr,optimal_cost_inr,cost_saving_inr,baseline_unserved,optimal_unserved,lng_price,stress_event,crisis_event,baseline_blackout,optimal_blackout,renewable_pct
1,72583.0,11547.0,500.0,35137.0,12047.0,27.5,HIGH,1302640524.0,977328408.0,325312116.0,19946.0,14388.156859891784,10.5,False,False,1,1,16.6
2,67601.0,7913.0,2112.0,35342.0,10025.0,18.4,MEDIUM,858709717.0,838631303.0,20078414.0,12468.0,12060.18655368686,15.2,False,False,1,1,14.8
3,65108.0,10808.0,1035.0,32376.0,11843.0,23.0,HIGH,997540617.0,969667414.0,27873203.0,14946.0,14410.291220097315,11.2,False,False,1,1,18.2
4,58999.0,8801.0,10027.0,34713.0,18828.0,0.0,LOW,79927330.0,79927330.0,0.0,0.0,0.0,15.2,False,False,0,0,31.9
5,68884.0,2497.0,2610.0,37952.0,5106.0,28.5,HIGH,1291045286.0,1181227563.0,109817723.0,19606.0,17681.824347054386,14.5,False,False,1,1,7.4
6,65509.0,890.0,4019.0,37515.0,4910.0,21.0,HIGH,939338668.0,918513352.0,20825316.0,13734.0,13313.71910317376,14.8,False,False,1,1,7.5
7,89944.0,134.0,6342.0,39993.0,6475.0,40.5,HIGH,2285724988.0,2281295606.0,4429382.0,36395.0,36294.36730714568,22.67,True,False,1,1,7.2
8,72080.0,10942.0,3750.0,36883.0,14692.0,19.3,MEDIUM,946434164.0,917122048.0,29312116.0,13936.0,13378.050205020601,10.5,False,False,1,1,20.4
9,64239.0,17935.0,2456.0,38974.0,20391.0,0.0,LOW,88923370.0,88923370.0,0.0,0.0,0.0,14.1,False,False,0,0,31.7
10,62004.0,4494.0,9086.0,39698.0,13580.0,0.0,LOW,110083156.0,97096803.0,12986354.0,0.0,0.0,14.8,False,False,0,0,21.9
11,86445.0,23234.0,2571.0,36481.0,25805.0,20.4,HIGH,1168191203.0,1143718861.0,24472342.0,17615.0,17133.459374329796,12.9,False,False,1,1,29.9
12,59285.0,118.0,6472.0,40446.0,6591.0,3.7,LOW,252764692.0,231939376.0,20825316.0,2178.0,1757.3713389932532,14.8,False,False,1,1,11.1
13,81987.0,21724.0,3761.0,41274.0,25486.0,10.9,MEDIUM,656084754.0,626772638.0,29312116.0,8938.0,8380.216026720416,10.5,False,False,1,1,31.1
14,60571.0,6107.0,2221.0,33661.0,8328.0,21.8,HIGH,894710304.0,866837101.0,27873203.0,13189.0,12653.941172070769,11.2,False,False,1,1,13.7
15,79420.0,0.0,6681.0,35462.0,6681.0,34.1,HIGH,1738095353.0,1718016939.0,20078414.0,27117.0,26708.92765204992,15.2,False,False,1,1,8.4
16,66196.0,0.0,5791.0,39697.0,5791.0,22.3,HIGH,1002298608.0,980907993.0,21390616.0,14731.0,14301.147362098185,14.5,False,False,1,1,8.7
17,64503.0,5679.0,6941.0,38530.0,12620.0,7.0,LOW,387766152.0,365615964.0,22150188.0,4508.0,4065.1590349166336,14.1,False,False,1,1,19.6
18,83670.0,1899.0,6978.0,34894.0,8877.0,40.3,HIGH,2127577369.0,2100314276.0,27263094.0,33681.0,33154.68961095571,11.5,False,False,1,1,10.6
19,72415.0,0.0,4173.0,36149.0,4173.0,38.5,HIGH,1766142356.0,1761270877.0,4871478.0,27915.0,27808.862110961472,19.87,True,False,1,1,5.8
20,95492.0,18736.0,1274.0,35884.0,20009.0,35.1,HIGH,2120399094.0,2099008479.0,21390616.0,33505.0,33074.9702906945,14.5,False,False,1,1,21.0
