cost,carbon_tonnes,reliability,gas_used,battery_used,unserved_mw
2275096.0,13873.71,1.0,28313.7,2000.0,0.0
2764592.0,16871.88,1.0,34432.4,2000.0,0.0
4402760.0,26966.9,1.0,55034.5,0.0,0.0
3802224.0,23288.62,1.0,47527.8,0.0,0.0
3532376.0,21635.8,1.0,44154.7,0.0,0.0
2120176.0,12986.08,1.0,26502.2,0.0,0.0
4350656.0,26647.77,1.0,54383.2,0.0,0.0
4590608.0,28117.47,1.0,57382.6,0.0,0.0
4743120.0,29051.61,1.0,59289.0,0.0,0.0
3498448.0,21427.99,1.0,43730.6,0.0,0.0
1700496.0,10415.54,1.0,21256.2,0.0,0.0
2586368.0,15841.5,1.0,32329.6,0.0,0.0
3097496.0,18972.16,1.0,38718.7,0.0,0.0
2672704.0,16370.31,1.0,33408.8,0.0,0.0
4026160.0,24660.23,1.0,50327.0,0.0,0.0
4891824.0,29962.42,1.0,61147.8,0.0,0.0
3486024.0,21351.9,1.0,43575.3,0.0,0.0
3971344.0,24324.48,1.0,49641.8,0.0,0.0
3028352.0,18548.66,1.0,37854.4,0.0,0.0
2413368.0,14781.88,1.0,30167.1,0.0,0.0
3124336.0,19136.56,1.0,39054.2,0.0,0.0
2910088.0,17824.29,1.0,36376.1,0.0,0.0
2629984.0,16108.65,1.0,32874.8,0.0,0.0
1419456.0,8694.17,1.0,17743.2,0.0,0.0
2270840.0,13908.9,1.0,28385.5,0.0,0.0
2994792.0,18343.1,1.0,37434.9,0.0,0.0
3209632.0,19659.0,1.0,40120.4,0.0,0.0
2421704.0,14832.94,1.0,30271.3,0.0,0.0
1857600.0,11377.8,1.0,23220.0,0.0,0.0
3016248.0,18474.52,1.0,37703.1,0.0,0.0
2004312.0,12276.41,1.0,25053.9,0.0,0.0
2096744.0,12842.56,1.0,26209.3,0.0,0.0
2201720.0,13485.53,1.0,27521.5,0.0,0.0
2790728.0,17093.21,1.0,34884.1,0.0,0.0
2241560.0,13729.56,1.0,28019.5,0.0,0.0
8642403.36,24780.91,0.9822,50573.3,0.0,919.3
3693224.0,22621.0,1.0,46165.3,0.0,0.0
3946344.0,24171.36,1.0,49329.3,0.0,0.0
