demand_mw,solar_mw,wind_mw,renewable_mw,gap_mw,stress_event,crisis_event,risk_label
36440.8,636.8,5490.3,6127.1,30313.7,False,False,HIGH
41370.8,0.0,4938.4,4938.4,36432.4,False,False,HIGH
60051.5,3449.5,1567.5,5017.0,55034.5,False,False,HIGH
53343.0,1274.1,4541.1,5815.2,47527.8,False,False,HIGH
49079.1,705.1,4219.3,4924.4,44154.6,False,False,HIGH
33416.1,265.4,6648.4,6913.9,26502.2,False,False,HIGH
59559.4,833.2,4343.0,5176.2,54383.3,False,False,HIGH
65071.8,3832.7,3856.4,7689.2,57382.7,False,False,HIGH
65446.9,3503.6,2654.4,6157.9,59289.0,False,False,HIGH
49149.9,265.2,5154.1,5419.3,43730.7,False,False,HIGH
29375.0,168.1,7950.7,8118.8,21256.2,False,False,HIGH
40881.7,0.0,8552.1,8552.1,32329.7,False,False,HIGH
44380.9,1150.9,4511.4,5662.2,38718.7,False,False,HIGH
40379.7,1881.6,5089.3,6970.9,33408.8,False,False,HIGH
57094.2,1544.1,5223.0,6767.2,50327.1,False,False,HIGH
66516.4,3777.3,1591.3,5368.6,61147.9,False,False,HIGH
50429.9,2780.6,4074.1,6854.6,43575.3,False,False,HIGH
58154.0,1638.8,6873.4,8512.2,49641.8,False,False,HIGH
43988.8,1768.4,4366.0,6134.4,37854.4,False,False,HIGH
35033.2,0.0,4866.1,4866.1,30167.1,False,False,HIGH
47058.4,3083.0,4921.2,8004.2,39054.2,False,False,HIGH
44666.6,76.8,8213.7,8290.5,36376.1,False,False,HIGH
39668.1,3491.4,3301.9,6793.3,32874.9,False,False,HIGH
27974.4,241.2,9989.9,10231.2,17743.2,False,False,HIGH
36144.8,616.1,7143.2,7759.3,28385.5,False,False,HIGH
46749.0,3329.4,5984.7,9314.1,37435.0,False,False,HIGH
48313.7,1263.1,6930.1,8193.3,40120.5,False,False,HIGH
36812.2,362.7,6178.2,6540.9,30271.3,False,False,HIGH
30107.6,165.3,6722.3,6887.6,23220.1,False,False,HIGH
44071.7,0.0,6368.6,6368.6,37703.1,False,False,HIGH
34180.3,0.0,9126.4,9126.4,25053.9,False,False,HIGH
33537.8,0.0,7328.5,7328.5,26209.4,False,False,HIGH
34524.6,195.2,6807.9,7003.1,27521.5,False,False,HIGH
40196.0,1425.0,3887.0,5311.9,34884.1,False,False,HIGH
35740.3,0.0,7720.8,7720.8,28019.5,False,False,HIGH
51605.4,0.0,112.8,112.8,51492.5,True,False,HIGH
52438.7,2559.6,3713.8,6273.4,46165.2,False,False,HIGH
57953.3,248.0,8376.1,8624.0,49329.3,False,False,HIGH
34112.4,881.7,7052.2,7933.8,26178.6,False,False,HIGH
27316.4,0.0,3527.4,3527.4,23789.1,False,False,HIGH
42485.3,57.4,595.8,653.2,41832.1,False,True,HIGH
34933.3,1917.4,1911.6,3829.0,31104.3,False,False,HIGH
64518.6,4304.7,1993.0,6297.7,58220.9,False,False,HIGH
