timestamp,gas_mw,coal_mw,nuclear_mw,wind_mw,solar_mw,hydro_mw,other_mw,total_generation_mw
2021-02-14 00:00:00,23940,9120,6840,10260,0,700,6140,57000
2021-02-14 01:00:00,24339,9272,6954,10431,291,700,5963,57950
2021-02-14 02:00:00,24738,9424,7068,10602,583,700,5785,58900
2021-02-14 03:00:00,25137,9576,7182,10773,875,700,5607,59850
2021-02-14 04:00:00,25536,9728,7296,10944,1166,700,5430,60800
2021-02-14 05:00:00,25935,9880,7410,11115,1458,700,5252,61750
2021-02-14 06:00:00,26334,10032,7524,11286,1750,700,5074,62700
2021-02-14 07:00:00,26733,10184,7638,11457,2041,700,4897,63650
2021-02-14 08:00:00,27132,10336,7752,11628,2333,700,4719,64600
2021-02-14 09:00:00,27405,10440,7830,11745,2625,700,4505,65250
2021-02-14 10:00:00,27678,10544,7908,11862,2916,700,4292,65900
2021-02-14 11:00:00,27951,10648,7986,11979,3208,700,4078,66550
2021-02-14 12:00:00,28224,10752,8064,12096,3500,700,3864,67200
2021-02-14 13:00:00,28497,10856,8142,12213,3208,700,4234,67850
2021-02-14 14:00:00,28770,10960,8220,12330,2916,700,4604,68500
2021-02-14 15:00:00,29043,11064,8298,12447,2625,700,4973,69150
2021-02-14 16:00:00,29316,11168,8376,12564,2333,700,5343,69800
2021-02-14 17:00:00,29589,11272,8454,12681,2041,700,5713,70450
2021-02-14 18:00:00,29862,11376,8532,12798,1750,700,6082,71100
2021-02-14 19:00:00,29463,11224,8418,12627,1458,700,6260,70150
2021-02-14 20:00:00,29064,11072,8304,12456,1166,700,6438,69200
2021-02-14 21:00:00,28665,10920,8190,12285,875,700,6615,68250
2021-02-14 22:00:00,28266,10768,8076,12114,583,700,6793,67300
2021-02-14 23:00:00,27867,10616,7962,11943,291,700,6971,66350
2021-02-15 00:00:00,27468,10464,7848,11772,0,700,7148,65400
2021-02-15 01:00:00,27069,10312,7734,11601,291,700,6743,64450
2021-02-15 02:00:00,26670,10160,7620,11430,583,700,6337,63500
2021-02-15 03:00:00,26187,9976,7482,11223,875,700,5907,62350
2021-02-15 04:00:00,25704,9792,7344,11016,1166,700,5478,61200
2021-02-15 05:00:00,25221,9608,7206,10809,1458,700,5048,60050
2021-02-15 06:00:00,24738,9424,7068,10602,1750,700,4618,58900
2021-02-15 07:00:00,24255,9240,6930,10395,2041,700,4189,57750
2021-02-15 08:00:00,23772,9056,6792,10188,2333,700,3759,56600
2021-02-15 09:00:00,23289,8872,6654,9981,2625,700,3329,55450
2021-02-15 10:00:00,22806,8688,6516,9774,2916,700,2900,54300
2021-02-15 11:00:00,22323,8504,6378,9567,3208,700,2470,53150
2021-02-15 12:00:00,21840,8320,6240,9360,3500,700,2040,52000
